E_cell=nan Omc=0.36 Omd=0.44 Ov=4.55  (0.80-0.40-1.00)

E_cell=-4.03 Omc=0.38 Omd=0.50 Ov=0.87  (0.80-0.60-0.20)

E_cell=-4.35 Omc=0.38 Omd=0.50 Ov=1.75  (0.80-0.60-0.40)

E_cell=-4.78 Omc=0.39 Omd=0.49 Ov=2.67  (0.80-0.60-0.60)

E_cell=-5.13 Omc=0.39 Omd=0.48 Ov=3.48  (0.80-0.60-0.80)

E_cell=-5.61 Omc=0.38 Omd=0.45 Ov=4.31  (0.80-0.60-1.00)

E_cell=-3.96 Omc=0.41 Omd=0.50 Ov=0.81  (0.80-0.80-0.20)

E_cell=-4.25 Omc=0.40 Omd=0.50 Ov=1.63  (0.80-0.80-0.40)

E_cell=-4.55 Omc=0.42 Omd=0.49 Ov=2.46  (0.80-0.80-0.60)

E_cell=-4.94 Omc=0.41 Omd=0.48 Ov=3.24  (0.80-0.80-0.80)

E_cell=-5.30 Omc=0.41 Omd=0.46 Ov=3.96  (0.80-0.80-1.00)

E_cell=-3.89 Omc=0.43 Omd=0.50 Ov=0.76  (0.80-1.00-0.20)

E_cell=-4.06 Omc=0.43 Omd=0.50 Ov=1.50  (0.80-1.00-0.40)

E_cell=1774119414353.43 Omc=0.44 Omd=0.49 Ov=2.28  (0.80-1.00-0.60)

E_cell=-4.71 Omc=0.43 Omd=0.49 Ov=2.99  (0.80-1.00-0.80)

E_cell=-5.09 Omc=0.42 Omd=0.47 Ov=3.71  (0.80-1.00-1.00)

E_cell=-3.81 Omc=0.21 Omd=0.50 Ov=0.71  (1.00-0.20-0.20)

E_cell=-4.20 Omc=0.24 Omd=0.50 Ov=1.55  (1.00-0.20-0.40)

***************************************************************

E_cell=-7.51 Omc=0.06 Omd=0.08 Ov=7.24  (0.05-0.05-0.80)

E_cell=-7.45 Omc=0.06 Omd=0.08 Ov=7.38  (0.05-0.05-0.90)

E_cell=-7.56 Omc=0.05 Omd=0.06 Ov=7.52  (0.05-0.05-1.00)

E_cell=-7.57 Omc=0.05 Omd=0.06 Ov=7.59  (0.05-0.05-1.10)

E_cell=-7.35 Omc=0.10 Omd=0.13 Ov=7.25  (0.05-0.10-0.80)

E_cell=-7.45 Omc=0.08 Omd=0.10 Ov=7.33  (0.05-0.10-0.90)

E_cell=-7.51 Omc=0.07 Omd=0.08 Ov=7.46  (0.05-0.10-1.00)

E_cell=-7.51 Omc=0.06 Omd=0.06 Ov=7.55  (0.05-0.10-1.10)

E_cell=nan Omc=0.12 Omd=0.15 Ov=7.16  (0.05-0.15-0.80)

E_cell=-7.41 Omc=0.10 Omd=0.12 Ov=7.31  (0.05-0.15-0.90)

E_cell=nan Omc=0.10 Omd=0.12 Ov=7.39  (0.05-0.15-1.00)

E_cell=-7.53 Omc=0.09 Omd=0.10 Ov=7.51  (0.05-0.15-1.10)

E_cell=-7.29 Omc=0.14 Omd=0.17 Ov=7.05  (0.05-0.20-0.80)

E_cell=-7.46 Omc=0.13 Omd=0.16 Ov=7.19  (0.05-0.20-0.90)

E_cell=-7.44 Omc=0.12 Omd=0.13 Ov=7.35  (0.05-0.20-1.00)

E_cell=nan Omc=0.11 Omd=0.12 Ov=7.45  (0.05-0.20-1.10)

E_cell=-7.22 Omc=0.17 Omd=0.20 Ov=6.96  (0.05-0.25-0.80)

E_cell=-7.29 Omc=0.15 Omd=0.18 Ov=7.12  (0.05-0.25-0.90)

E_cell=-7.37 Omc=0.15 Omd=0.17 Ov=7.25  (0.05-0.25-1.00)

E_cell=-7.45 Omc=0.12 Omd=0.14 Ov=7.40  (0.05-0.25-1.10)

E_cell=3676605727.14 Omc=0.19 Omd=0.23 Ov=6.78  (0.05-0.30-0.80)

E_cell=-7.25 Omc=0.18 Omd=0.21 Ov=7.01  (0.05-0.30-0.90)

E_cell=-7.32 Omc=0.16 Omd=0.18 Ov=7.19  (0.05-0.30-1.00)

E_cell=-7.39 Omc=0.15 Omd=0.17 Ov=7.29  (0.05-0.30-1.10)

E_cell=-7.12 Omc=0.09 Omd=0.13 Ov=7.09  (0.10-0.05-0.80)

E_cell=nan Omc=0.08 Omd=0.11 Ov=7.31  (0.10-0.05-0.90)

E_cell=-7.57 Omc=0.08 Omd=0.10 Ov=7.41  (0.10-0.05-1.00)

E_cell=nan Omc=0.07 Omd=0.09 Ov=7.48  (0.10-0.05-1.10)

E_cell=-8.23 Omc=0.13 Omd=0.18 Ov=7.04  (0.10-0.10-0.80)

E_cell=-13.39 Omc=0.11 Omd=0.14 Ov=7.27  (0.10-0.10-0.90)

